N,epsilon,accepted,accepted_std,alpha_mean,alpha_mean_std,beta_mean,beta_mean_std,sigma_eta_mean,sigma_eta_mean_std,alpha_abs_error,alpha_abs_error_std,beta_abs_error,beta_abs_error_std,sigma_eta_abs_error,sigma_eta_abs_error_std
1000,0.1,0.0,0.0,,,,,,,,,,,,
1000,0.2,0.3,0.48304589153964794,-1.0425878995675588,0.35104523435799373,0.8941522422103251,0.037305205412832755,0.4389028478308636,0.05046686884433079,0.5425878995675588,0.35104523435799373,0.055847757789674844,0.03730520541283277,0.13890284783086362,0.050466868844330805
1000,0.5,5.1,1.2866839377079187,-0.9287547758147129,0.10484193457549874,0.9060650675357513,0.010625015858042357,0.3734407927702462,0.028110000765793598,0.4287547758147129,0.10484193457549877,0.04393493246424859,0.010625015858042364,0.07344079277024622,0.0281100007657936
1000,1.0,58.7,8.641630504585219,-0.9791398928170316,0.034694240023735806,0.9054633828299246,0.003633789658003172,0.34167393638277,0.009549403077827938,0.47913989281703173,0.03469424002373579,0.04453661717007547,0.0036337896580031664,0.041673936382770047,0.00954940307782794
1000,2.0,460.5,14.057421922639692,-1.0384258145385816,0.017408236294799855,0.9321172970892766,0.0013003588235537778,0.24106228102450872,0.004051699342042749,0.5384258145385816,0.01740823629479983,0.017882702910723282,0.001300358823553772,0.05893771897549127,0.004051699342042749
2000,0.1,0.0,0.0,,,,,,,,,,,,
2000,0.2,0.4,0.5163977794943222,-0.8320787366204634,0.5093246526356114,0.9156260099016721,0.05265241079675442,0.3710040756553489,0.14191162608845825,0.48180311273087484,0.3113427890392896,0.049397646586184424,0.03307871378110101,0.1373501960909465,0.041322868692800864
2000,0.5,9.7,2.869378562220979,-0.8689975070029842,0.12273762965633424,0.9121405821460808,0.012525575024899295,0.34815157542483066,0.024358348505586824,0.3689975070029841,0.12273762965633424,0.03785941785391914,0.01252557502489927,0.04815157542483063,0.024358348505586828
2000,1.0,116.2,13.693469652031625,-0.9598786461159247,0.028935401575010733,0.9071375838509145,0.0030507453018301825,0.3378896756072086,0.009009288718291915,0.45987864611592466,0.028935401575010775,0.042862416149085536,0.0030507453018301873,0.037889675607208614,0.009009288718291915
2000,2.0,930.9,21.75341607911527,-1.0409297353682243,0.012021368260616193,0.9322745384731338,0.001440345022706007,0.24134523312794212,0.004336091837739659,0.5409297353682243,0.012021368260616203,0.017725461526866194,0.0014403450227060124,0.05865476687205786,0.004336091837739662
