method,target,target_type,stage_type,stage_index,n_datasets,mean_bias,rmse,mean_absolute_error,mean_scaled_absolute_error,sd_scaled_absolute_error,median_scaled_absolute_error,q25_scaled_absolute_error,q75_scaled_absolute_error,scaled_error_iqr,coverage_rate,mean_interval_width,mean_simulator_calls,mean_runtime_seconds
Manual ABC,beta,parameter,rejection_budget,3,10,-0.02803431066298632,0.028040926823517297,0.02803431066298632,0.18814973599319673,0.004309045250163844,0.18817685755053168,0.18500121721449606,0.1921381249052533,0.007136907690757255,1.0,0.11469625903908538,20000.0,
Manual ABC,alpha,parameter,rejection_budget,3,10,-0.33689958759961,0.3370748097196567,0.33689958759961,0.24064256257115,0.008182139401782225,0.24251947575766397,0.235440655685419,0.24510347606377914,0.009662820378360137,1.0,1.211471883310138,20000.0,
Manual ABC,stationary_log_volatility_variance,derived,rejection_budget,3,10,-0.13102850254918869,0.1311713539685285,0.13102850254918869,0.14194754442828778,0.00698874760255651,0.14444689780100747,0.13905096711738585,0.14711495288360865,0.008063985766222803,1.0,0.9820780316646063,20000.0,
Manual ABC,half_life_days,derived,rejection_budget,3,10,-2.7523052424239776,2.7580762334957347,2.7523052424239776,0.2036721882501297,0.013910089084347592,0.19759820723312543,0.19298617495716844,0.2184317832132907,0.02544560825612227,1.0,26.309006261716746,20000.0,
Auto ABC,half_life_days,derived,rejection_budget,3,10,7.669547389021825,7.6852282150555755,7.669547389021825,0.5675509661982162,0.038275430382008375,0.5665671051605583,0.561223133416872,0.580570150062747,0.019347016645875015,1.0,54.58554247463379,20000.0,
Auto ABC,stationary_log_volatility_variance,derived,rejection_budget,3,10,1.0457127074001682,1.0476848325627748,1.0457127074001682,1.1328554330168494,0.07337260585085077,1.1418847646950443,1.1251421503774608,1.1601473350250513,0.035005184647590504,1.0,6.2390798410157196,20000.0,
Manual ABC,long_run_log_variance,derived,rejection_budget,3,10,-0.8752691569900877,0.878402268529219,0.8752691569900877,0.08752691569900886,0.007813413096250586,0.08959538658364474,0.07951917592787623,0.09396788231370783,0.014448706385831595,1.0,7.484712747748918,20000.0,
Manual ABC,sigma_eta,parameter,rejection_budget,3,10,0.03192774581150185,0.03196397083646297,0.03192774581150185,0.07095054624778188,0.0035636320542012465,0.07034102774407734,0.06963798525736105,0.07376094107560022,0.0041229558182391685,1.0,0.3157698665515724,20000.0,
Auto ABC,sigma_eta,parameter,rejection_budget,3,10,0.04714020353305469,0.04719827028805339,0.04714020353305469,0.10475600785123265,0.0054824468851166555,0.10659524318268826,0.0989968182319706,0.10925139474651469,0.01025457651454409,1.0,0.34683378650980584,20000.0,
Auto ABC,long_run_log_variance,derived,rejection_budget,3,10,0.3547737280934699,0.38088906789265653,0.3547737280934699,0.03547737280934702,0.014610530408957864,0.03845143318316392,0.026440822233762807,0.04082764013902564,0.01438681790526283,1.0,12.652329189207354,20000.0,
Auto ABC,alpha,parameter,rejection_budget,3,10,0.10112458783655749,0.10129207695466906,0.10112458783655749,0.07223184845468393,0.004383965622444943,0.07263166067105015,0.06957641048145297,0.07591779244960861,0.006341381968155646,1.0,0.893808505650318,20000.0,
Auto ABC,beta,parameter,rejection_budget,3,10,0.006496139201822304,0.006511171577061993,0.006496139201822304,0.04359824967665975,0.0031282398156024438,0.043351812787978054,0.041119709062931754,0.045701660141310704,0.00458195107837895,1.0,0.08551270703681825,20000.0,
Wasserstein ABC,half_life_days,derived,rejection_budget,3,10,-5.528706183014169,5.534343537896546,5.528706183014169,0.40912747217485307,0.01948000200339597,0.40749272043154894,0.39776470989514523,0.4156696524197599,0.017904942524614664,1.0,18.903654996574794,20000.0,
Wasserstein ABC,stationary_log_volatility_variance,derived,rejection_budget,3,10,-0.37329355936766884,0.3735529686142537,0.37329355936766884,0.40440135598164134,0.015894587478087426,0.4009264776858634,0.39772918241378624,0.40666642085904653,0.008937238445260287,1.0,1.8583435665432535,20000.0,
Wasserstein ABC,alpha,parameter,rejection_budget,3,10,-0.4934210836877311,0.4936511331695616,0.4934210836877311,0.3524436312055222,0.011345817754075654,0.35055669607951434,0.34635595841317346,0.3558988471983978,0.009542888785224357,1.0,1.1659915218538306,20000.0,
Wasserstein ABC,beta,parameter,rejection_budget,3,10,-0.05119319307348117,0.051216569049167715,0.05119319307348117,0.3435784770032293,0.010945813117802924,0.34186525338970597,0.3381162763355813,0.3461404572087425,0.008024180873161202,1.0,0.11823357317487679,20000.0,
Wasserstein ABC,sigma_eta,parameter,rejection_budget,3,10,-0.023920693092835843,0.02410070418311134,0.023920693092835843,0.05315709576185742,0.006887050364061836,0.0531334122406987,0.04855171154108692,0.05643690631918601,0.00788519477809909,1.0,0.423215202224054,20000.0,
Wasserstein ABC,long_run_log_variance,derived,rejection_budget,3,10,0.16618003474434778,0.16655259493956018,0.16618003474434778,0.016618003474434796,0.001173612341204921,0.016329939422442867,0.015714159127049245,0.017426439644040108,0.0017122805169908634,1.0,1.1004783956433708,20000.0,
ABC-SMC,alpha,parameter,smc_population,4,10,-0.28862581224528167,0.2891508108746129,0.28862581224528167,0.20616129446091552,0.013113232986708764,0.20974834440836224,0.20541280945294071,0.2138389400791997,0.008426130626258993,1.0,1.2162331431604492,25259.0,55.002443620003035
ABC-SMC,beta,parameter,smc_population,4,10,-0.022271602378804344,0.022343551918517796,0.022271602378804344,0.14947384146848552,0.012674991783816284,0.15242802901381158,0.14546821838265556,0.15805336176843798,0.012585143385782427,1.0,0.11387867908169466,25259.0,55.002443620003035
ABC-SMC,sigma_eta,parameter,smc_population,4,10,0.019011562886454503,0.01927652320487132,0.019011562886454503,0.04224791752545445,0.007460852925615044,0.04108941554355236,0.038867256236255324,0.04679725502448452,0.007929998788229198,1.0,0.3119704214485909,25259.0,55.002443620003035
ABC-SMC,long_run_log_variance,derived,smc_population,4,10,-1.053098409059237,1.0570919800562981,1.053098409059237,0.10530984090592381,0.009676543882702896,0.10341283765034684,0.09698189486375926,0.11340970804486414,0.01642781318110488,1.0,7.187940928902125,25259.0,55.002443620003035
ABC-SMC,half_life_days,derived,smc_population,4,10,-1.5825478806944173,1.706038263055464,1.5825478806944173,0.11710946333400378,0.04970900341874763,0.1308767493020187,0.08862051001930965,0.150477512745972,0.061857002726662336,1.0,32.30464773080256,25259.0,55.002443620003035
