Method,Lag,Observed,Predictive mean,Predictive SD,Predictive median,Predictive q2.5,Predictive q97.5,Posterior Predictive p-value,Replications
Manual ABC,1,0.45553741364152417,0.2414552051428661,0.07560195394093376,0.23213439106195405,0.11611145531387636,0.419248813687421,0.013,1000
Manual ABC,2,0.5189967262252652,0.22017473526014084,0.07089625575708984,0.20879982120125595,0.10713205047373522,0.38136439281360557,0.001,1000
Manual ABC,3,0.3248477049631809,0.1982557110943233,0.07068913962521976,0.18817617314625407,0.08584517359079842,0.36271772303878375,0.057,1000
Manual ABC,4,0.30914095461859376,0.17989819126396964,0.06763145598848623,0.17223823700300211,0.07020808802775408,0.3375536692473372,0.05,1000
Manual ABC,5,0.30602680022835566,0.16318707160052645,0.06777693623889607,0.15130697707514235,0.058470649829384866,0.32874792555396737,0.033,1000
Manual ABC,6,0.3518423640948493,0.14797803726457626,0.0650199629466814,0.13694162488114792,0.05139065957302729,0.3037142348952581,0.008,1000
Manual ABC,7,0.26051953089399454,0.13808974099272867,0.06315230185730787,0.12787468885159825,0.04671342158437486,0.29161008201894156,0.05,1000
Manual ABC,8,0.3133283663865098,0.126771064305053,0.06418481287868198,0.11539214788152447,0.03553215084613803,0.2843016206346896,0.016,1000
Manual ABC,9,0.23829646462767579,0.11559669870090465,0.060666429130454995,0.10498994665888299,0.03122494741785151,0.2628201333827194,0.043,1000
Manual ABC,10,0.235193053589144,0.10734667543408946,0.05885607397571767,0.09640751842254969,0.02421143966859956,0.24717960086843377,0.035,1000
Manual ABC,11,0.19630610764201836,0.09932653081380431,0.05590847958160571,0.08797099105831657,0.020654846809915816,0.2307101462510691,0.068,1000
Manual ABC,12,0.1615038603768994,0.09276753818716221,0.054474068872227555,0.08062201451019406,0.017530140324801248,0.2198423070762879,0.12,1000
Manual ABC,13,0.15663702039007113,0.0848762216854621,0.05499838381558717,0.07486586541466637,0.011202136317785058,0.21599490654459277,0.108,1000
Manual ABC,14,0.14768308226870533,0.08144790265068866,0.055482213745903376,0.06932316362101704,0.0087313059955362,0.21666852116974897,0.116,1000
Manual ABC,15,0.1793028796892499,0.07410352910310533,0.05158209513109773,0.06178052385445244,0.0040937140896209435,0.20102193907994842,0.045,1000
Manual ABC,16,0.12201980712249062,0.06887924959959853,0.0493723933092713,0.05810315394872163,0.0052042490682655245,0.18846143555458994,0.144,1000
Manual ABC,17,0.13534509012234386,0.06610948848326675,0.05043000176955619,0.05343834010193344,0.0038718838405670973,0.19269965736381126,0.104,1000
Manual ABC,18,0.09307756437211305,0.059616701361699,0.047975195518992084,0.04926376980311143,-0.0021798396568382407,0.17486600810942304,0.207,1000
Manual ABC,19,0.06549705868657102,0.057736821349807274,0.04935721515224271,0.046047900253812495,-0.0026820085884868556,0.18029431363031304,0.339,1000
Manual ABC,20,0.10681645216635653,0.053800827766083366,0.04786576448447532,0.041768009121691235,-0.004782550282048518,0.17709131336665657,0.127,1000
Auto ABC,1,0.45553741364152417,0.2480584877310751,0.08838540987817496,0.23496757769217982,0.11190208974348642,0.44601131155067386,0.019,1000
Auto ABC,2,0.5189967262252652,0.22765340062465986,0.08254133874210862,0.21854757335414132,0.09650257963993321,0.4214113324672508,0.006,1000
Auto ABC,3,0.3248477049631809,0.20794428583879734,0.07865273965540293,0.19860468859016656,0.07860634195053832,0.3907948693925823,0.078,1000
Auto ABC,4,0.30914095461859376,0.19488323673869712,0.07814326828453717,0.18119624229188672,0.07274904229714882,0.3877670296358478,0.088,1000
Auto ABC,5,0.30602680022835566,0.17848542367306083,0.07310666020750556,0.1672929837626877,0.06895437683339417,0.3474823822770202,0.054,1000
Auto ABC,6,0.3518423640948493,0.16514038627463123,0.07104333705660841,0.15193006180849772,0.05966131364224248,0.331296994781971,0.016,1000
Auto ABC,7,0.26051953089399454,0.15514947064715512,0.06825096414978443,0.14225008768218034,0.05212824583717578,0.31756723812597887,0.079,1000
Auto ABC,8,0.3133283663865098,0.144858015066498,0.06727457754914455,0.13345282113826637,0.047203098465617224,0.3017693225397858,0.021,1000
Auto ABC,9,0.23829646462767579,0.13599137873502506,0.0625610577635205,0.12448807627956865,0.043919521609091,0.28205235000665,0.064,1000
Auto ABC,10,0.235193053589144,0.12599885470794026,0.06211720904216309,0.11447746473677095,0.03475211052272228,0.2708063593456473,0.059,1000
Auto ABC,11,0.19630610764201836,0.11797893979468657,0.06162681664538563,0.10748607167195956,0.032250760553069864,0.2692446711587583,0.093,1000
Auto ABC,12,0.1615038603768994,0.11095303714191142,0.06091826730165645,0.10050895105005792,0.025069524001249427,0.2523669558638443,0.173,1000
Auto ABC,13,0.15663702039007113,0.10518519243119394,0.058944764623261044,0.0953815891414396,0.020942159680373055,0.24677244397057116,0.168,1000
Auto ABC,14,0.14768308226870533,0.09635274389507859,0.05658639539571674,0.0858053155483922,0.015852234552839264,0.23508958390354812,0.161,1000
Auto ABC,15,0.1793028796892499,0.093407367328688,0.05772373603913716,0.08240824814251864,0.014425413311761622,0.24480885663240415,0.083,1000
Auto ABC,16,0.12201980712249062,0.08632673149970242,0.05331407213823383,0.07662137871023086,0.012274004526540452,0.21563367826286137,0.216,1000
Auto ABC,17,0.13534509012234386,0.08131063458424487,0.052027821109578064,0.07120986583161021,0.008855752793095886,0.20976688773648322,0.153,1000
Auto ABC,18,0.09307756437211305,0.07724939075460023,0.05215502181706786,0.06827487002090173,0.004919915064894378,0.20466423117865443,0.31,1000
Auto ABC,19,0.06549705868657102,0.07359125082485192,0.05176897601338292,0.06330845060417281,0.005116178323841288,0.20013326259967495,0.485,1000
Auto ABC,20,0.10681645216635653,0.0690425699789232,0.05012741012669692,0.05880314922245894,0.0031118021366072363,0.19230963938017073,0.19,1000
Wasserstein ABC,1,0.45553741364152417,0.13416998201555827,0.09246617858143226,0.12531500113409808,-0.0037829975714869747,0.3420350886056348,0.004,1000
Wasserstein ABC,2,0.5189967262252652,0.11407032611014503,0.08010283905923139,0.10535426498365186,-0.005489226113809837,0.3187501805605158,0.0,1000
Wasserstein ABC,3,0.3248477049631809,0.1031594265053027,0.07370875720236994,0.09277506107339448,-0.0003049050971136991,0.28503553790786407,0.012,1000
Wasserstein ABC,4,0.30914095461859376,0.09334345321885046,0.06837470717867257,0.08157596428150714,-0.006183912349150462,0.26428206931450493,0.012,1000
Wasserstein ABC,5,0.30602680022835566,0.08150352721640684,0.06206047789386654,0.07359691601303159,-0.009702776379456797,0.23397127377294466,0.005,1000
Wasserstein ABC,6,0.3518423640948493,0.0734409944164324,0.05944440570166007,0.0604542412659901,-0.009337701665281676,0.22449340977693522,0.001,1000
Wasserstein ABC,7,0.26051953089399454,0.06593709485034384,0.05698751219756132,0.05313188481486478,-0.00992659823614887,0.20544679357553328,0.014,1000
Wasserstein ABC,8,0.3133283663865098,0.059416506666625,0.05380939473402089,0.04738984855262898,-0.010131158402813116,0.20184434824822073,0.004,1000
Wasserstein ABC,9,0.23829646462767579,0.05371599662491198,0.05192707355961124,0.04305401722362341,-0.015042556700342068,0.19139115417033592,0.008,1000
Wasserstein ABC,10,0.235193053589144,0.048426458001117695,0.0486981554551593,0.03607386330109519,-0.013638120811664715,0.16696334912813124,0.007,1000
Wasserstein ABC,11,0.19630610764201836,0.04436683805949028,0.046484712067101766,0.0341560158898072,-0.011066352047236844,0.1624640128726533,0.016,1000
Wasserstein ABC,12,0.1615038603768994,0.04039090452891703,0.04439199229944909,0.030488618916650938,-0.0153884840368135,0.16323210721764195,0.026,1000
Wasserstein ABC,13,0.15663702039007113,0.03612212038972,0.04554041868425742,0.02491088636624883,-0.01826237530942739,0.14868024436144922,0.024,1000
Wasserstein ABC,14,0.14768308226870533,0.03423490055048289,0.044235127826752346,0.02485447867934753,-0.015974644300150182,0.14836082512710377,0.027,1000
Wasserstein ABC,15,0.1793028796892499,0.031386395981190654,0.042167350515867126,0.022110438862915728,-0.017962453653483833,0.13760796732887554,0.012,1000
