Method,Statistic,Observed,Predictive mean,Predictive SD,Predictive median,Predictive q2.5,Predictive q97.5,Replications
Manual ABC,Variance,0.00011852881689568235,0.0004144080181049076,0.0008553407483363447,3.761326321602239e-05,4.31862017466501e-07,0.003116963784036731,1000
Manual ABC,Kurtosis,16.19767992397794,14.89212706073331,14.365179995208567,10.706642450456043,6.252227256451843,52.4162261385593,1000
Manual ABC,ACF1,0.45553741364152417,0.2414552051428661,0.07560195394093376,0.23213439106195405,0.11611145531387636,0.419248813687421,1000
Manual ABC,ACF5,0.30602680022835566,0.16318707160052645,0.06777693623889607,0.15130697707514235,0.058470649829384866,0.32874792555396737,1000
Auto ABC,Variance,0.00011852881689568235,0.008440734508144174,0.02814264447116952,0.00013933170983646052,2.4421680184073223e-07,0.09507690115650015,1000
Auto ABC,Kurtosis,16.19767992397794,25.568800375464043,46.294383709424736,12.877761865057012,4.823856875825797,117.45196479539288,1000
Auto ABC,ACF1,0.45553741364152417,0.2480584877310751,0.08838540987817496,0.23496757769217982,0.11190208974348642,0.44601131155067386,1000
Auto ABC,ACF5,0.30602680022835566,0.17848542367306083,0.07310666020750556,0.1672929837626877,0.06895437683339417,0.3474823822770202,1000
Wasserstein ABC,Variance,0.00011852881689568235,9.703651511779446e-05,3.708841309875636e-05,9.196276203689695e-05,5.212295197136699e-05,0.00018299368863406622,1000
Wasserstein ABC,Kurtosis,16.19767992397794,6.559874078340218,6.565970036023757,4.7185979277319365,3.026532801139258,24.004597041390245,1000
Wasserstein ABC,ACF1,0.45553741364152417,0.13416998201555827,0.09246617858143226,0.12531500113409808,-0.0037829975714869747,0.3420350886056348,1000
Wasserstein ABC,ACF5,0.30602680022835566,0.08150352721640684,0.06206047789386654,0.07359691601303159,-0.009702776379456797,0.23397127377294466,1000
ABC-SMC,Variance,0.00011852881689568235,0.00032363357787159675,0.000699478926617982,3.564720435080743e-05,4.790629605392691e-07,0.002507292384486375,1000
ABC-SMC,Kurtosis,16.19767992397794,17.128006004593168,18.056555389535717,12.977243063313825,6.327729860683701,50.88816234443323,1000
ABC-SMC,ACF1,0.45553741364152417,0.25361669685051585,0.08415915807846254,0.2447328457178718,0.12261462079984999,0.4398672853915019,1000
ABC-SMC,ACF5,0.30602680022835566,0.17886131024751342,0.07198871556160712,0.17150092746640874,0.06293967169281516,0.34896326099719593,1000
