method,target,target_type,n_datasets,mean_bias,rmse,mean_absolute_error,mean_scaled_absolute_error,sd_scaled_absolute_error,median_scaled_absolute_error,q25_scaled_absolute_error,q75_scaled_absolute_error,scaled_error_iqr,coverage_rate,mean_interval_width,mean_simulator_calls,mean_runtime_seconds
Manual ABC,alpha,parameter,30,-0.3639116755833483,0.4398976752763865,0.3665305915874255,0.2618075654195896,0.17671242718000701,0.3259158871600729,0.05064027552408931,0.3562881571320286,0.3056478816079393,0.9,1.1444495594609698,10000.0,
Manual ABC,beta,parameter,30,-0.03236529261997751,0.04021421969059358,0.03271686375756011,0.2195762668292625,0.15961943062550502,0.2666314235453717,0.03443580991268825,0.31040091241279444,0.2759651025001062,0.8333333333333334,0.11063061313472738,10000.0,
Manual ABC,sigma_eta,parameter,30,0.07179847198065054,0.09791726757488893,0.07908579643749782,0.17574621430555068,0.13049132208742034,0.14543674936560455,0.061790795993521073,0.2607828961523163,0.19899210015879523,0.8333333333333334,0.25311230418153813,10000.0,
Manual ABC,long_run_log_variance,derived,30,-0.6745640400221137,0.7346236222852552,0.6745640400221137,0.06745640400221137,0.029589470808197543,0.06481460790445119,0.03820255539906481,0.08575799488275644,0.04755543948369163,1.0,7.152515504271145,10000.0,
Manual ABC,half_life_days,derived,30,-8.784984853484385,13.401999288390337,9.379987255756365,0.38038131472083736,0.22819312159705857,0.3644406921943354,0.18756556762928414,0.5904524121071193,0.4028868444778352,0.8333333333333334,21.134434219965957,10000.0,
Manual ABC,stationary_log_volatility_variance,derived,30,-0.058445495872858126,0.2751017588516848,0.15840940529563863,0.19164251500051607,0.147304904012797,0.18313525916928158,0.058857379691903744,0.2720356023078794,0.21317822261597563,1.0,0.9671433498107852,10000.0,
Auto ABC,alpha,parameter,30,-0.23375779804050945,0.31483146609632584,0.24448269709539694,0.17463049792528354,0.14410855130581035,0.13772870358847128,0.059086879940202064,0.24067235403355874,0.18158547409335668,0.9,0.9318560276640688,10000.0,
Auto ABC,beta,parameter,30,-0.02575442667871169,0.03203995875112173,0.026283465315402082,0.176399096076524,0.12507654415337138,0.14358595592061757,0.08318585672973428,0.22869224102284105,0.14550638429310678,0.9,0.08812295387328715,10000.0,
Auto ABC,sigma_eta,parameter,30,0.0766962791211148,0.10002624529314887,0.07896123208382269,0.17546940463071709,0.13878460897972272,0.15088347810175445,0.06636412611886337,0.20939376784915956,0.1430296417302962,0.9333333333333333,0.27619810733190303,10000.0,
Auto ABC,long_run_log_variance,derived,30,0.13745324342300733,0.5412937268248347,0.4485585495919792,0.04485585495919791,0.030815489771775506,0.04295743937231862,0.017620822187137095,0.06597163620392692,0.048350814016789825,1.0,8.48601024728141,10000.0,
Auto ABC,half_life_days,derived,30,-6.635331004697677,10.684373560387723,7.486667862671419,0.3127534104247279,0.2169208709996248,0.3568854106427317,0.1158142569586857,0.5138556464973333,0.3980413895386476,0.9,22.91641169969343,10000.0,
Auto ABC,stationary_log_volatility_variance,derived,30,0.18969304380383897,0.464631354990745,0.2902568357281228,0.46961344849925796,0.5986458414618029,0.23456953364929894,0.10257934357523144,0.5748413560002215,0.47226201242499,1.0,2.2841948381534865,10000.0,
Wasserstein ABC,alpha,parameter,30,-0.4305689915234671,0.5335937294149762,0.43080034913023546,0.30771453509302543,0.2287406938615889,0.35863900430799167,0.018577805369390205,0.5271054012055532,0.5085275958361629,0.7666666666666667,1.2186339306882819,10000.0,
Wasserstein ABC,beta,parameter,30,-0.04297894176773893,0.05376075144512094,0.0431237645576646,0.2894212386420442,0.21913505591653126,0.3383743628534046,0.008849749400090636,0.5154055340184948,0.5065557846184041,0.7666666666666667,0.12195924473092022,10000.0,
Wasserstein ABC,sigma_eta,parameter,30,0.04659484397500021,0.08223153682373649,0.06779130162626809,0.15064733694726243,0.10519980556896964,0.16259121714406477,0.05355172219093395,0.24923976097029638,0.19568803877936242,1.0,0.42633979255152066,10000.0,
Wasserstein ABC,long_run_log_variance,derived,30,-0.021673288961609614,0.15153876032035107,0.12161756417058936,0.012161756417058935,0.009195105874758289,0.010862534846251305,0.006050136751200874,0.014374416410478829,0.008324279659277956,1.0,1.1508038507550116,10000.0,
Wasserstein ABC,half_life_days,derived,30,-9.807380651632593,15.154898821726091,10.827504282271972,0.45738100283068467,0.21997700457261693,0.3940834911129906,0.2666953526900087,0.7331848190720403,0.46648946638203154,0.7666666666666667,22.76387621232406,10000.0,
Wasserstein ABC,stationary_log_volatility_variance,derived,30,-0.22008496600245434,0.6838854073420155,0.4388462278670985,0.8958380557872032,1.0289202610309072,0.5408522533782629,0.1006201127528848,1.102966104824294,1.0023459920714093,1.0,1.8466620889730365,10000.0,
ABC-SMC,alpha,parameter,30,-0.35552464395819267,0.42740926949824004,0.3592479787958142,0.2566056991398674,0.1682268333058912,0.29640278553458294,0.06398417233672071,0.3586767753939071,0.29469260305718636,0.8333333333333334,1.1045442055465113,19984.033333333333,46.098679803333894
ABC-SMC,beta,parameter,30,-0.02936812464259929,0.03755041834138821,0.030653511548201832,0.20572826542417338,0.1480495999032554,0.23372899221218169,0.048857834313117306,0.29252257817302035,0.24366474385990305,0.9,0.1048947682933162,19984.033333333333,46.098679803333894
ABC-SMC,sigma_eta,parameter,30,0.07277495737829182,0.0976183876371928,0.08090353608624097,0.1797856357472022,0.12346565240490062,0.14273255880471258,0.0785055735767588,0.27226108104581026,0.19375550746905146,0.8,0.22801719821769723,19984.033333333333,46.098679803333894
ABC-SMC,long_run_log_variance,derived,30,-0.9372443798747454,0.9761141600351859,0.9372443798747454,0.09372443798747455,0.027737406427447125,0.0894424981779661,0.07374540681941308,0.11101312526477454,0.03726771844536146,1.0,6.893882447234788,19984.033333333333,46.098679803333894
ABC-SMC,half_life_days,derived,30,-8.277285908734536,12.715478648415054,8.92349090714408,0.36971125100207963,0.22119731311747295,0.3798236402670056,0.18734580543369583,0.5358088961772043,0.34846309074350845,0.9,21.56546411157495,19984.033333333333,46.098679803333894
ABC-SMC,stationary_log_volatility_variance,derived,30,0.0011132535090669989,0.2270351626829418,0.14502933231425802,0.18560665386209851,0.13420544867351725,0.16616377701462487,0.08152710840746749,0.24247138749394762,0.16094427908648012,1.0,0.9972859543213364,19984.033333333333,46.098679803333894
