dataset,block_length,permutation,manual_distance,auto_distance,wasserstein_distance,squared_acf_1,squared_acf_5
synthetic,1,1,3.6920217921712766,5.827488658538762,0.0,-0.010657949404740382,0.011886542898739428
synthetic,1,2,4.106029949550662,5.834697687976437,0.0,-0.01686557563157209,-0.013222827556773946
synthetic,1,3,4.110930201043956,5.834697687976437,0.0,-0.001309034690852426,-0.018920510912461264
synthetic,1,4,3.7908228712530954,5.670525153135845,0.0,-0.016211888321428572,0.007456671881898611
synthetic,1,5,3.188483305354289,5.8245689019697355,0.0,-0.004734466616008456,0.044759929223850574
synthetic,1,6,3.8967971827151797,5.834697687976437,0.0,0.006715334863611667,-0.0080006293988475
synthetic,1,7,4.014967926697113,5.834697687976437,0.0,-0.01962026703848769,-0.006213492207567006
synthetic,1,8,3.810863218483351,5.791216419611665,0.0,-0.010624884149045017,0.0038777290156211544
synthetic,1,9,4.04255356901705,5.833057815198232,0.0,-0.016887128965033794,-0.009063724677695218
synthetic,1,10,3.918553803022593,5.834697687976437,0.0,-0.00718123265649418,-0.004527527385884007
synthetic,1,11,3.911706097279974,5.532559013471249,0.0,-0.002019966570965778,-0.005941101659492843
synthetic,1,12,4.036099426501366,5.834697687976437,0.0,-0.005688261393889562,-0.012670457748124935
synthetic,1,13,3.9816610289091954,5.796231923198152,0.0,0.010346684360936479,-0.014550935675410088
synthetic,1,14,4.021905039690805,5.842933071256521,0.0,0.009927292347840067,-0.016939015855461256
synthetic,1,15,3.715711935298839,5.833057815198232,0.0,0.0032101088247360235,0.004914831036455498
synthetic,1,16,3.2820540961329265,5.833157768690909,0.0,0.027377231808161383,0.024386423260919762
synthetic,1,17,3.6174999588984393,5.810151817570242,0.0,0.041165320198932084,-0.0013597643452444182
synthetic,1,18,3.75439176243143,5.46437393322433,0.0,-0.009665485472627017,0.0072775480124078005
synthetic,1,19,3.9342719040594987,5.834697687976437,0.0,-0.00448813892843274,-0.006523366401261315
synthetic,1,20,3.168431718836047,5.829636385094686,0.0,0.016419632388978703,0.03637092219104418
synthetic,1,21,3.8064572049427214,5.786215245987104,0.0,0.014036232196644011,-0.0047044418801053456
synthetic,1,22,4.021268909002573,5.834697687976437,0.0,6.133834036122252e-05,-0.013686456198988834
synthetic,1,23,3.6653537108201575,5.834697687976437,0.0,-0.01636853453541285,0.016118432806576023
synthetic,1,24,3.6011661872007856,5.834697687976437,0.0,-0.0016937974532846576,0.014395992440644264
synthetic,1,25,3.922757527806953,5.835222081297485,0.0,-0.0024371269093179716,-0.00650761535384362
synthetic,1,26,4.263480940479794,5.834697687976437,0.0,-0.020538366801491705,-0.022116960521435504
synthetic,1,27,3.903727600555702,5.834697687976437,0.0,0.004450004827044095,-0.007676116057808727
synthetic,1,28,4.037025739384402,5.788147743698058,0.0,-0.00937374969654695,-0.01143578557113352
synthetic,1,29,3.639639254488887,5.835222081297485,0.0,0.003594478131609483,0.009772047489326413
synthetic,1,30,3.813622125132804,5.833057815198232,0.0,-0.0032438514136910452,0.0008873396289604939
synthetic,1,31,3.881765406177316,5.834697687976437,0.0,-0.00757449271349099,-0.0019745798763452288
synthetic,1,32,3.9505461640776334,5.834697687976437,0.0,-0.013929174445403581,-0.004118327931330159
synthetic,1,33,3.8051208825065164,5.817311113460514,0.0,0.006857011139984504,-0.0021865641565709535
synthetic,1,34,3.5307662428012194,5.834697687976437,0.0,0.01702217455728362,0.011941181653641114
synthetic,1,35,4.223669468406015,5.8056167169786335,0.0,-0.008510338594231497,-0.02368272637884249
